Mode,M,N,K,Time_ms,TFLOPS,Precision
rtx4090_benchmark_fp16,16384,16384,4096,13.563084411621093,162.1329771912234,fp16
rtx4090_aot_benchmark,1024,512,16384,0.1059712052345275,162.11827680905196,
rtx4090_benchmark_fp16,4096,256,12288,0.1590271949768066,162.0465215383973,fp16
rtx4090_torch_compile_benchmark,12288,12288,1024,1.908902359008789,161.99762332138027,fp16
rtx4090_aot_benchmark,16384,2048,4096,1.697505340576172,161.93051083462285,
rtx4090_benchmark_fp16,16384,4096,512,0.4243936061859131,161.9239209412034,fp16
rtx4090_benchmark_fp16,2048,8192,2048,0.424448013305664,161.9031650090727,fp16
rtx4090_benchmark_fp16,12288,4096,512,0.3183615922927856,161.89015509320888,fp16
rtx4090_benchmark_fp16,256,4096,8192,0.1061375975608825,161.8641233531341,fp16
rtx4090_aot_benchmark,16384,4096,8192,6.795038452148438,161.81095008054874,
rtx4090_benchmark_fp16,8192,512,16384,0.849401569366455,161.80680425927622,fp16
rtx4090_benchmark_fp16,16384,16384,512,1.69881591796875,161.8055870777733,fp16
rtx4090_aot_benchmark,8192,512,8192,0.424729585647583,161.79583212039202,
rtx4090_aot_benchmark,2048,4096,8192,0.8494848251342774,161.79094600103673,
rtx4090_torch_compile_benchmark,16384,8192,8192,13.594624328613282,161.7568240501951,fp16
rtx4090_benchmark_fp16,12288,512,12288,0.9560064315795898,161.73408206106572,fp16
rtx4090_benchmark_fp16,4096,1024,2048,0.1062399983406067,161.70810854986212,fp16
rtx4090_aot_benchmark,8192,16384,8192,13.599227294921874,161.70207379158546,
rtx4090_torch_compile_benchmark,16384,4096,8192,6.799763488769531,161.6985104837764,fp16
rtx4090_torch_compile_benchmark,16384,2048,8192,3.399884796142578,161.6983653421842,fp16
rtx4090_benchmark_fp16,12288,1024,12288,1.9128320693969727,161.6648164046561,fp16
rtx4090_benchmark_fp16,16384,4096,12288,10.207449340820313,161.57488385158695,fp16
rtx4090_aot_benchmark,4096,16384,8192,6.805565185546875,161.56066363320662,
